date,open,high,low,close,volume,market cap,market cap (2),book to market_for security,number of shares
2005-06-24,7.45,7.4525,7.285,7.335,1068000.0,,1194982.0,0.96,27183
2005-06-27,7.3625,7.365,7.21,7.29,1285600.0,,1194982.0,0.96,27183
2005-06-28,7.3375,7.6475,7.3375,7.625,1065600.0,,1194982.0,1.0,27183
2005-06-29,7.6325,7.7525,7.5125,7.6225,630400.0,,1194982.0,1.0,27183
2005-06-30,7.625,7.64,7.4375,7.4375,911600.0,,1194982.0,0.98,27232
2005-07-01,7.475,7.54,7.355,7.4275,914000.0,,1194982.0,0.98,27232
2005-07-04,,,,,,,1194982.0,0.98,27232
2005-07-05,7.4325,7.5175,7.3625,7.455,741600.0,,1194982.0,0.98,27232
2005-07-06,7.455,7.5575,7.4,7.45,901600.0,,1194982.0,0.98,27232
2005-07-07,7.375,7.47,7.2225,7.39,1060000.0,,1194982.0,0.97,27232
2005-07-08,7.375,7.695,7.3175,7.645,1254000.0,,1194982.0,1.01,27232
2005-07-11,7.6575,7.855,7.6575,7.745,1146400.0,,1194982.0,1.02,27232
2005-07-12,7.7,7.7625,7.5375,7.73,1560000.0,,1194982.0,1.02,27232
2005-07-13,7.745,7.8925,7.73,7.87,1186400.0,,1194982.0,1.04,27232
2005-07-14,7.9275,8.01,7.835,7.865,1425600.0,,1194982.0,1.04,27232
2005-07-15,7.865,8.0425,7.795,8.0325,3274000.0,,1194982.0,1.06,27232
2005-07-18,8.0,8.305,8.0,8.14,2046400.0,,1194982.0,1.07,27232
2005-07-19,8.175,8.2125,8.1125,8.1475,945600.0,,1194982.0,1.07,27232
2005-07-20,8.425,8.6175,8.28,8.555,3076400.0,,1194982.0,1.13,27232
2005-07-21,8.545,8.645,8.35,8.3625,1645600.0,,1194982.0,1.1,27232
2005-07-22,8.15,8.3775,8.15,8.3125,1849600.0,,1194982.0,1.09,27232
2005-07-25,8.335,8.4925,8.325,8.325,1366400.0,,1194982.0,1.1,27232
2005-07-26,8.3275,8.5875,8.3275,8.52,1583600.0,,1194982.0,1.12,27232
2005-07-27,8.4875,8.565,8.36,8.43,1192400.0,,1194982.0,1.11,27232
2005-07-28,8.4375,8.625,8.435,8.59,1086800.0,,1194982.0,1.13,27232
